year,month,rate,,,,,,,,,,,,,,,,,,,
2003,January,511.216757,,,,,,,,,,,,,,,,,,,
2003,February,512.478120,,,,,,,,,,,,,,,,,,,
2003,March,513.436500,,,,,,,,,,,,,,,,,,,
2003,April,519.800110,,,,,,,,,,,,,,,,,,,
2003,May,524.923525,,,,,,,,,,,,,,,,,,,
2003,June,532.100071,,,,,,,,,,,,,,,,,,,
2003,July,539.370571,,,,,,,,,,,,,,,,,,,
2003,August,547.968600,,,,,,,,,,,,,,,,,,,
2003,September,554.798958,,,,,,,,,,,,,,,,,,,
2003,October,559.551827,,,,,,,,,,,,,,,,,,,
2003,November,564.423063,,,,,,,,,,,,,,,,,,,
2003,December,574.836614,,,,,,,,,,,,,,,,,,,
2004,January,582.755271,,,,,,,,,,,,,,,,,,,
2004,February,582.374495,,,,,,,,,,,,,,,,,,,
2004,March,582.172604,,,,,,,,,,,,,,,,,,,
2004,April,582.050650,,,,,,,,,,,,,,,,,,,
2004,May,580.948371,,,,,,,,,,,,,,,,,,,
2004,June,579.453673,,,,,,,,,,,,,,,,,,,
2004,July,578.429295,,,,,,,,,,,,,,,,,,,
2004,August,577.843609,,,,,,,,,,,,,,,,,,,
2004,September,574.896927,,,,,,,,,,,,,,,,,,,
2004,October,571.645367,,,,,,,,,,,,,,,,,,,
2004,November,569.884810,,,,,,,,,,,,,,,,,,,
2004,December,567.726518,,,,,,,,,,,,,,,,,,,
2005,January,565.472195,,,,,,,,,,,,,,,,,,,
2005,February,564.283068,,,,,,,,,,,,,,,,,,,
2005,March,561.863862,,,,,,,,,,,,,,,,,,,
2005,April,560.075960,,,,,,,,,,,,,,,,,,,
2005,May,558.697943,,,,,,,,,,,,,,,,,,,
2005,June,557.248227,,,,,,,,,,,,,,,,,,,
2005,July,555.305211,,,,,,,,,,,,,,,,,,,
2005,August,554.621191,,,,,,,,,,,,,,,,,,,
2005,September,553.887827,,,,,,,,,,,,,,,,,,,
2005,October,554.737975,,,,,,,,,,,,,,,,,,,
2005,November,553.604500,,,,,,,,,,,,,,,,,,,
2005,December,553.938681,,,,,,,,,,,,,,,,,,,
2006,January,554.363490,,,,,,,,,,,,,,,,,,,
2006,February,553.389847,,,,,,,,,,,,,,,,,,,
2006,March,552.890691,,,,,,,,,,,,,,,,,,,
2006,April,552.411678,,,,,,,,,,,,,,,,,,,
2006,May,551.931105,,,,,,,,,,,,,,,,,,,
2006,June,552.129527,,,,,,,,,,,,,,,,,,,
2006,July,551.630930,,,,,,,,,,,,,,,,,,,
2006,August,551.682495,,,,,,,,,,,,,,,,,,,
2006,September,550.773087,,,,,,,,,,,,,,,,,,,
2006,October,550.014942,,,,,,,,,,,,,,,,,,,
2006,November,550.244941,,,,,,,,,,,,,,,,,,,
2006,December,549.666155,,,,,,,,,,,,,,,,,,,
2007,January,549.240500,,,,,,,,,,,,,,,,,,,
2007,February,548.179000,,,,,,,,,,,,,,,,,,,
2007,March,546.931300,,,,,,,,,,,,,,,,,,,
2007,April,546.496500,,,,,,,,,,,,,,,,,,,
2007,May,546.044200,,,,,,,,,,,,,,,,,,,
2007,June,546.032800,,,,,,,,,,,,,,,,,,,
2007,July,548.866800,,,,,,,,,,,,,,,,,,,
2007,August,548.431800,,,,,,,,,,,,,,,,,,,
2007,September,547.281200,,,,,,,,,,,,,,,,,,,
2007,October,546.214900,,,,,,,,,,,,,,,,,,,
2007,November,545.559800,,,,,,,,,,,,,,,,,,,
2007,December,544.811500,,,,,,,,,,,,,,,,,,,
2008,January,543.843100,,,,,,,,,,,,,,,,,,,
2008,February,543.587400,,,,,,,,,,,,,,,,,,,
2008,March,544.250600,,,,,,,,,,,,,,,,,,,
2008,April,543.922000,,,,,,,,,,,,,,,,,,,
2008,May,543.076800,,,,,,,,,,,,,,,,,,,
2008,June,543.064900,,,,,,,,,,,,,,,,,,,
2008,July,544.370479,,,,,,,,,,,,,,,,,,,
2008,August,547.500225,,,,,,,,,,,,,,,,,,,
2008,September,549.543103,,,,,,,,,,,,,,,,,,,
2008,October,551.353900,,,,,,,,,,,,,,,,,,,
2008,November,552.734500,,,,,,,,,,,,,,,,,,,
2008,December,554.966600,,,,,,,,,,,,,,,,,,,
2009,January,564.277528,,,,,,,,,,,,,,,,,,,
2009,February,567.021214,,,,,,,,,,,,,,,,,,,
2009,March,568.379826,,,,,,,,,,,,,,,,,,,
2009,April,568.498438,,,,,,,,,,,,,,,,,,,
2009,May,567.206831,,,,,,,,,,,,,,,,,,,
2009,June,567.967812,,,,,,,,,,,,,,,,,,,
2009,July,569.283602,,,,,,,,,,,,,,,,,,,
2009,August,568.043220,,,,,,,,,,,,,,,,,,,
2009,September,568.800484,,,,,,,,,,,,,,,,,,,
2009,October,569.435431,,,,,,,,,,,,,,,,,,,
2009,November,569.867458,,,,,,,,,,,,,,,,,,,
2009,December,570.592822,,,,,,,,,,,,,,,,,,,
2010,January,572.144340,,,,,,,,,,,,,,,,,,,
2010,February,572.780008,,,,,,,,,,,,,,,,,,,
2010,March,572.618440,,,,,,,,,,,,,,,,,,,
2010,April,573.997419,,,,,,,,,,,,,,,,,,,
2010,May,578.631079,,,,,,,,,,,,,,,,,,,
2010,June,584.378959,,,,,,,,,,,,,,,,,,,
2010,July,589.385363,,,,,,,,,,,,,,,,,,,
2010,August,588.967396,,,,,,,,,,,,,,,,,,,
2010,September,588.351472,,,,,,,,,,,,,,,,,,,
2010,October,590.169656,,,,,,,,,,,,,,,,,,,
2010,November,592.373981,,,,,,,,,,,,,,,,,,,
2010,December,603.447898,,,,,,,,,,,,,,,,,,,
2011,January,596.750183,,,,,,,,,,,,,,,,,,,
2011,February,600.244444,,,,,,,,,,,,,,,,,,,
2011,March,599.530161,,,,,,,,,,,,,,,,,,,
2011,April,601.268174,,,,,,,,,,,,,,,,,,,
2011,May,599.276092,,,,,,,,,,,,,,,,,,,
2011,June,600.004921,,,,,,,,,,,,,,,,,,,
2011,July,600.508499,,,,,,,,,,,,,,,,,,,
2011,August,599.751665,,,,,,,,,,,,,,,,,,,
2011,September,599.838011,,,,,,,,,,,,,,,,,,,
2011,October,601.288186,,,,,,,,,,,,,,,,,,,
2011,November,601.769994,,,,,,,,,,,,,,,,,,,
2011,December,603.413244,,,,,,,,,,,,,,,,,,,
2012,January,604.366760,,,,,,,,,,,,,,,,,,,
2012,February,605.147334,,,,,,,,,,,,,,,,,,,
2012,March,606.752953,,,,,,,,,,,,,,,,,,,
2012,April,607.011685,,,,,,,,,,,,,,,,,,,
2012,May,608.560729,,,,,,,,,,,,,,,,,,,
2012,June,609.944959,,,,,,,,,,,,,,,,,,,
2012,July,612.946959,,,,,,,,,,,,,,,,,,,
2012,August,613.632167,,,,,,,,,,,,,,,,,,,
2012,September,618.078103,,,,,,,,,,,,,,,,,,,
2012,October,625.240142,,,,,,,,,,,,,,,,,,,
2012,November,628.771378,,,,,,,,,,,,,,,,,,,
2012,December,630.990331,,,,,,,,,,,,,,,,,,,
2013,January,631.290173,,,,,,,,,,,,,,,,,,,
2013,February,633.248994,,,,,,,,,,,,,,,,,,,
2013,March,634.977377,,,,,,,,,,,,,,,,,,,
2013,April,637.379034,,,,,,,,,,,,,,,,,,,
2013,May,640.131923,,,,,,,,,,,,,,,,,,,
2013,June,641.657904,,,,,,,,,,,,,,,,,,,
2013,July,645.343038,,,,,,,,,,,,,,,,,,,
2013,August,649.014898,,,,,,,,,,,,,,,,,,,
2013,September,653.264812,,,,,,,,,,,,,,,,,,,
2013,October,661.298931,,,,,,,,,,,,,,,,,,,
2013,November,664.298481,,,,,,,,,,,,,,,,,,,
2013,December,667.735901,,,,,,,,,,,,,,,,,,,
2014,January,672.774086,,,,,,,,,,,,,,,,,,,
2014,February,674.648818,,,,,,,,,,,,,,,,,,,
2014,March,676.388704,,,,,,,,,,,,,,,,,,,
2014,April,678.195515,,,,,,,,,,,,,,,,,,,
2014,May,680.700960,,,,,,,,,,,,,,,,,,,
2014,June,681.787057,,,,,,,,,,,,,,,,,,,
2014,July,683.471875,,,,,,,,,,,,,,,,,,,
2014,August,684.234866,,,,,,,,,,,,,,,,,,,
2014,September,685.438907,,,,,,,,,,,,,,,,,,,
2014,October,688.684986,,,,,,,,,,,,,,,,,,,
2014,November,690.351392,,,,,,,,,,,,,,,,,,,
2014,December,692.442852,,,,,,,,,,,,,,,,,,,
2015,January,696.559241,,,,,,,,,,,,,,,,,,,
2015,February,702.343593,,,,,,,,,,,,,,,,,,,
2015,March,706.249124,,,,,,,,,,,,,,,,,,,
2015,April,709.457532,,,,,,,,,,,,,,,,,,,
2015,May,712.098174,,,,,,,,,,,,,,,,,,,
2015,June,716.698284,,,,,,,,,,,,,,,,,,,
2015,July,721.869455,,,,,,,,,,,,,,,,,,,
2015,August,724.969416,,,,,,,,,,,,,,,,,,,
2015,September,728.206843,,,,,,,,,,,,,,,,,,,
2015,October,733.534503,,,,,,,,,,,,,,,,,,,
2015,November,739.018328,,,,,,,,,,,,,,,,,,,
2015,December,744.115672,,,,,,,,,,,,,,,,,,,
2016,January,751.030734,,,,,,,,,,,,,,,,,,,
2016,February,758.967423,,,,,,,,,,,,,,,,,,,
2016,March,765.786530,,,,,,,,,,,,,,,,,,,
2016,April,771.284340,,,,,,,,,,,,,,,,,,,
2016,May,776.374241,,,,,,,,,,,,,,,,,,,
2016,June,780.191677,,,,,,,,,,,,,,,,,,,
2016,July,789.642935,,,,,,,,,,,,,,,,,,,
2016,August,800.291884,,,,,,,,,,,,,,,,,,,
2016,September,808.895136,,,,,,,,,,,,,,,,,,,
2016,October,811.898021,,,,,,,,,,,,,,,,,,,
2016,November,815.238616,,,,,,,,,,,,,,,,,,,
2016,December,818.539659,,,,,,,,,,,,,,,,,,,
2017,January,820.387507,,,,,,,,,,,,,,,,,,,
2017,February,822.860694,,,,,,,,,,,,,,,,,,,
2017,March,825.011054,,,,,,,,,,,,,,,,,,,
2017,April,826.715246,,,,,,,,,,,,,,,,,,,
2017,May,827.656654,,,,,,,,,,,,,,,,,,,
2017,June,829.154674,,,,,,,,,,,,,,,,,,,
2017,July,831.166772,,,,,,,,,,,,,,,,,,,
2017,August,833.530772,,,,,,,,,,,,,,,,,,,
2017,September,836.367085,,,,,,,,,,,,,,,,,,,
2017,October,839.224210,,,,,,,,,,,,,,,,,,,
2017,November,841.855706,,,,,,,,,,,,,,,,,,,
2017,December,844.087417,,,,,,,,,,,,,,,,,,,
2018,January,846.408207,,,,,,,,,,,,,,,,,,,
2018,February,848.815276,,,,,,,,,,,,,,,,,,,
2018,March,851.420056,,,,,,,,,,,,,,,,,,,
2018,April,853.914112,,,,,,,,,,,,,,,,,,,
2018,May,856.049169,,,,,,,,,,,,,,,,,,,
2018,June,858.516058,,,,,,,,,,,,,,,,,,,
2018,July,861.296447,,,,,,,,,,,,,,,,,,,
2018,August,864.402416,,,,,,,,,,,,,,,,,,,
2018,September,867.671192,,,,,,,,,,,,,,,,,,,
2018,October,871.415017,,,,,,,,,,,,,,,,,,,
2018,November,875.141609,,,,,,,,,,,,,,,,,,,
2018,December,878.071430,,,,,,,,,,,,,,,,,,,
2019,January,880.829250,,,,,,,,,,,,,,,,,,,
2019,February,884.188413,,,,,,,,,,,,,,,,,,,
2019,March,887.334110,,,,,,,,,,,,,,,,,,,
2019,April,890.352252,,,,,,,,,,,,,,,,,,,
2019,May,893.201716,,,,,,,,,,,,,,,,,,,
2019,June,896.364485,,,,,,,,,,,,,,,,,,,
2019,July,900.372071,,,,,,,,,,,,,,,,,,,
2019,August,904.023949,,,,,,,,,,,,,,,,,,,
2019,September,907.972901,,,,,,,,,,,,,,,,,,,
2019,October,911.887874,,,,,,,,,,,,,,,,,,,
2019,November,916.300240,,,,,,,,,,,,,,,,,,,
2019,December,920.720938,,,,,,,,,,,,,,,,,,,
2020,January,924.471539,,,,,,,,,,,,,,,,,,,
2020,February,927.778401,,,,,,,,,,,,,,,,,,,
2020,March,929.977115,,,,,,,,,,,,,,,,,,,
2020,April,931.054093,,,,,,,,,,,,,,,,,,,
2020,May,932.681320,,,,,,,,,,,,,,,,,,,
2020,June,935.291522,,,,,,,,,,,,,,,,,,,
2020,July,940.425072,,,,,,,,,,,,,,,,,,,
2020,August,946.980423,,,,,,,,,,,,,,,,,,,
2020,September,953.366798,,,,,,,,,,,,,,,,,,,
2020,October,960.657881,,,,,,,,,,,,,,,,,,,
2020,November,966.018018,,,,,,,,,,,,,,,,,,,
2020,December,970.554230,,,,,,,,,,,,,,,,,,,
2021,January,973.858368,,,,,,,,,,,,,,,,,,,
2021,February,976.273700,,,,,,,,,,,,,,,,,,,
2021,March,977.994873,,,,,,,,,,,,,,,,,,,
2021,April,980.983297,,,,,,,,,,,,,,,,,,,
2021,May,983.062184,,,,,,,,,,,,,,,,,,,
2021,June,985.842179,,,,,,,,,,,,,,,,,,,
2021,July,988.762998,,,,,,,,,,,,,,,,,,,
2021,August,991.546820,,,,,,,,,,,,,,,,,,,
2021,September,995.439171,,,,,,,,,,,,,,,,,,,
2021,October,1000.201162,,,,,,,,,,,,,,,,,,,
2021,November,1004.416290,,,,,,,,,,,,,,,,,,,
2021,December,1008.210609,,,,,,,,,,,,,,,,,,,
2022,January,1011.161989,,,,,,,,,,,,,,,,,,,
2022,February,1014.187080,,,,,,,,,,,,,,,,,,,
2022,March,1017.116279,,,,,,,,,,,,,,,,,,,
2022,April,1019.469593,,,,,,,,,,,,,,,,,,,
2022,May,1021.128100,,,,,,,,,,,,,,,,,,,
2022,June,1023.174203,,,,,,,,,,,,,,,,,,,
2022,July,1026.529354,,,,,,,,,,,,,,,,,,,
2022,August,1031.857995,,,,,,,,,,,,,,,,,,,
2022,September,1038.501932,,,,,,,,,,,,,,,,,,,
2022,October,1045.739179,,,,,,,,,,,,,,,,,,,
2022,November,1053.708139,,,,,,,,,,,,,,,,,,,
2022,December,1064.500734,,,,,,,,,,,,,,,,,,,
2023,January,1077.489579,,,,,,,,,,,,,,,,,,,
2023,February,1088.561895,,,,,,,,,,,,,,,,,,,
2023,March,1096.718601,,,,,,,,,,,,,,,,,,,
2023,April,1110.298007,,,,,,,,,,,,,,,,,,,
2023,May,1123.751629,,,,,,,,,,,,,,,,,,,
2023,June,1146.844105,,,,,,,,,,,,,,,,,,,
2023,July,1172.250146,,,,,,,,,,,,,,,,,,,
2023,August,1186.312440,,,,,,,,,,,,,,,,,,,
2023,September,1202.334968,,,,,,,,,,,,,,,,,,,
2023,October,1224.099221,,,,,,,,,,,,,,,,,,,
2023,November,1237.143015,,,,,,,,,,,,,,,,,,,
2023,December,1255.816810,,,,,,,,,,,,,,,,,,,
2024,January,1271.093744,,,,,,,,,,,,,,,,,,,
2024,February,1277.952465,,,,,,,,,,,,,,,,,,,
2024,March,1286.892509,,,,,,,,,,,,,,,,,,,
2024,April,1293.190262,,,,,,,,,,,,,,,,,,,
2024,May,1299.518084,,,,,,,,,,,,,,,,,,,
2024,June,1307.277700,,,,,,,,,,,,,,,,,,,
2024,July,1314.444211,,,,,,,,,,,,,,,,,,,
2024,August,1326.603037,,,,,,,,,,,,,,,,,,,
2024,September,1340.072330,,,,,,,,,,,,,,,,,,,
2024,October,1353.931534,,,,,,,,,,,,,,,,,,,
2024,November,1368.019640,,,,,,,,,,,,,,,,,,,
2024,December,1378.543663,,,,,,,,,,,,,,,,,,,
2025,January,1388.432458,,,,,,,,,,,,,,,,,,,
2025,February,1400.404308,,,,,,,,,,,,,,,,,,,
2025,March,1411.096357,,,,,,,,,,,,,,,,,,,
